,name,temperature,symbol,weatherDescription,text,windSpeed,windGust,cardinalWindDirection,windDirection,humidity,rainfall,pressure,dayName,date,reportTime
0,Athenry,5,46n,Light rain ,"""Moderate Drizzle """,13,-,E,90,97,0.4,999,Tuesday,2024-11-19,00:00
1,Athenry,4,05n,Rain showers,"""Rain shower""",19,-,E,90,96,0.5,999,Tuesday,2024-11-19,01:00
2,Athenry,4,46n,Light rain ,"""Moderate Drizzle """,15,-,E,90,97,0.5,999,Tuesday,2024-11-19,02:00
3,Athenry,3,46n,Light rain ,"""Light rain """,13,-,NE,45,96,1.0,1000,Tuesday,2024-11-19,03:00
4,Athenry,2,,N/A,,11,-,N,0,95,0.01,1000,Tuesday,2024-11-19,04:00
5,Athenry,2,05n,Rain showers,"""Rain shower""",9,-,NE,45,95,0.01,1001,Tuesday,2024-11-19,05:00
6,Athenry,2,40n,Light rain showers,"""Recent Rain""",6,-,NE,45,97,0.01,1001,Tuesday,2024-11-19,06:00
7,Athenry,2,46n,Light rain ,"""Moderate Drizzle """,6,-,N,0,97,0.3,1002,Tuesday,2024-11-19,07:00
8,Athenry,2,46d,Light rain ,"""Light rain """,4,-,N,0,97,0.1,1003,Tuesday,2024-11-19,08:00
9,Athenry,2,46d,Light rain ,"""Moderate Drizzle """,7,-,NE,45,95,0.2,1003,Tuesday,2024-11-19,09:00
10,Athenry,3,46d,Light rain ,"""Light rain """,7,-,NE,45,96,0.2,1004,Tuesday,2024-11-19,10:00
11,Athenry,3,04d,Cloudy,"""Cloudy""",7,-,NE,45,92,0.0,1005,Tuesday,2024-11-19,11:00
12,Athenry,4,04d,Cloudy,"""Cloudy""",15,-,E,90,91,0.0,1005,Tuesday,2024-11-19,12:00
13,Athenry,4,04d,Cloudy,"""Cloudy""",15,-,E,90,90,0.0,1005,Tuesday,2024-11-19,13:00
14,Athenry,4,04d,Cloudy,"""Cloudy""",13,-,NE,45,87,0.0,1006,Tuesday,2024-11-19,14:00
15,Athenry,4,46d,Light rain ,"""Light rain """,13,-,NE,45,88,0.01,1007,Tuesday,2024-11-19,15:00
16,Athenry,3,46d,Light rain ,"""Recent Drizzle """,9,-,NE,45,91,0.01,1008,Tuesday,2024-11-19,16:00
